Query length,Class,Accuracy,Specificity,Sensitivity,Precision
14,Fish,0.9434210526315792,0.977146814404432,0.30263157894736836,0.4107142857142857
14,FourLeg,0.9413157894736843,0.9760387811634349,0.28157894736842104,0.3821428571428572
14,Glasses,0.9397368421052631,0.975207756232687,0.2657894736842105,0.36071428571428565
14,Hand,0.9289473684210527,0.9695290858725762,0.15789473684210525,0.21428571428571433
14,Human,0.9421052631578947,0.976454293628809,0.28947368421052627,0.39285714285714285
14,Mech,0.951578947368421,0.9814404432132964,0.3842105263157895,0.5214285714285714
14,Octopus,0.928157894736842,0.9691135734072024,0.15,0.20357142857142857
14,Plier,0.9710526315789473,0.9916897506925209,0.5789473684210525,0.7857142857142858
14,Table,0.9518421052631579,0.9815789473684211,0.3868421052631579,0.5250000000000001
14,Teddy,0.9626315789473685,0.9872576177285319,0.4947368421052632,0.6714285714285714
14,Vase,0.9328947368421051,0.9716066481994459,0.19736842105263155,0.6714285714285714
15,Airplane,0.9652631578947368,0.9872576177285319,0.5473684210526316,0.6933333333333332
15,Ant,0.9486842105263158,0.9785318559556787,0.3815789473684211,0.4833333333333334
15,Armadillo,0.9326315789473684,0.9700831024930748,0.22105263157894733,0.28
15,Bearing,0.9278947368421054,0.9675900277008311,0.17368421052631583,0.21999999999999997
15,Bird,0.9323684210526316,0.9699445983379501,0.218421052631579,0.2766666666666667
15,Bust,0.9423684210526316,0.975207756232687,0.31842105263157894,0.40333333333333343
15,Chair,0.9549999999999998,0.9818559556786705,0.4447368421052631,0.5633333333333334
15,Cup,0.9605263157894737,0.9847645429362881,0.5000000000000001,0.6333333333333332
15,Fish,0.9426315789473684,0.9753462603878115,0.3210526315789473,0.4066666666666666
15,FourLeg,0.9402631578947368,0.9740997229916897,0.29736842105263156,0.37666666666666676
15,Glasses,0.9376315789473685,0.9727146814404433,0.2710526315789474,0.3433333333333334
15,Hand,0.926578947368421,0.9668975069252076,0.16052631578947368,0.2033333333333333
15,Human,0.9415789473684212,0.9747922437673131,0.3105263157894737,0.39333333333333326
15,Mech,0.9502631578947367,0.9793628808864266,0.39736842105263154,0.5033333333333332
15,Octopus,0.9260526315789473,0.9666204986149584,0.15526315789473683,0.19666666666666668
15,Plier,0.9713157894736841,0.990443213296399,0.6078947368421053,0.7700000000000002
15,Table,0.95,0.9792243767313019,0.39473684210526316,0.5000000000000001
15,Teddy,0.9615789473684211,0.9853185595567867,0.5105263157894736,0.6466666666666666
15,Vase,0.9310526315789474,0.9692520775623269,0.20526315789473687,0.6466666666666666
16,Airplane,0.9652631578947368,0.9858725761772853,0.5736842105263159,0.68125
16,Ant,0.9473684210526316,0.976454293628809,0.39473684210526316,0.46875
16,Armadillo,0.9313157894736843,0.9680055401662051,0.23421052631578948,0.278125
16,Bearing,0.9260526315789475,0.965235457063712,0.18157894736842112,0.215625
16,Bird,0.9305263157894738,0.967590027700831,0.22631578947368425,0.26875
16,Bust,0.9405263157894739,0.9728531855955678,0.3263157894736842,0.3875
16,Chair,0.953421052631579,0.9796398891966758,0.4552631578947368,0.540625
16,Cup,0.9602631578947369,0.9832409972299168,0.5236842105263159,0.621875
16,Fish,0.9413157894736843,0.9732686980609417,0.3342105263157894,0.396875
16,FourLeg,0.9389473684210528,0.9720221606648201,0.31052631578947365,0.36875
16,Glasses,0.9352631578947367,0.9700831024930746,0.2736842105263158,0.325
16,Hand,0.9247368421052633,0.9645429362880886,0.16842105263157894,0.2
16,Human,0.9392105263157896,0.9721606648199443,0.31315789473684214,0.371875
16,Mech,0.9486842105263158,0.977146814404432,0.4078947368421053,0.484375
16,Octopus,0.9244736842105263,0.9644044321329639,0.16578947368421051,0.196875
16,Plier,0.9697368421052633,0.9882271468144046,0.618421052631579,0.734375
16,Table,0.9486842105263159,0.9771468144044322,0.4078947368421053,0.484375
16,Teddy,0.9605263157894735,0.9833795013850416,0.5263157894736842,0.625
16,Vase,0.9289473684210525,0.9667590027700832,0.21052631578947367,0.625
17,Airplane,0.9639473684210527,0.9837950138504153,0.586842105263158,0.6558823529411762
17,Ant,0.9460526315789475,0.9743767313019388,0.4078947368421053,0.45588235294117646
17,Armadillo,0.9286842105263158,0.9652354570637118,0.23421052631578948,0.26176470588235284
17,Bearing,0.9236842105263159,0.9626038781163435,0.18421052631578955,0.20588235294117646
17,Bird,0.9284210526315789,0.9650969529085873,0.23157894736842105,0.2588235294117647
17,Bust,0.9397368421052631,0.9710526315789474,0.3447368421052631,0.3852941176470588
17,Chair,0.9523684210526318,0.9777008310249308,0.47105263157894733,0.5264705882352941
17,Cup,0.9597368421052632,0.9815789473684209,0.5447368421052632,0.6088235294117644
17,Fish,0.939736842105263,0.9710526315789474,0.34473684210526306,0.38529411764705884
17,FourLeg,0.9371052631578948,0.9696675900277011,0.3184210526315789,0.3558823529411764
17,Glasses,0.9334210526315792,0.9677285318559559,0.2815789473684211,0.31470588235294117
17,Hand,0.9228947368421053,0.9621883656509697,0.17631578947368418,0.1970588235294117
17,Human,0.9371052631578948,0.9696675900277005,0.31842105263157894,0.3558823529411764
17,Mech,0.9471052631578948,0.9749307479224376,0.4184210526315789,0.4676470588235294
17,Octopus,0.9228947368421053,0.9621883656509697,0.1763157894736842,0.19705882352941173
17,Plier,0.9678947368421051,0.9858725761772854,0.6263157894736842,0.7
17,Table,0.946842105263158,0.9747922437673131,0.41578947368421054,0.4647058823529412
17,Teddy,0.9600000000000002,0.9817174515235457,0.5473684210526315,0.6117647058823529
17,Vase,0.9265789473684212,0.9641274238227144,0.21315789473684207,0.6117647058823529
18,Airplane,0.9626315789473683,0.9817174515235454,0.6000000000000001,0.6333333333333332
18,Ant,0.9444736842105265,0.9721606648199443,0.4184210526315789,0.4416666666666667
18,Armadillo,0.9263157894736844,0.9626038781163434,0.2368421052631579,0.24999999999999994
18,Bearing,0.921578947368421,0.9601108033240996,0.18947368421052635,0.19999999999999998
18,Bird,0.9260526315789473,0.9624653739612189,0.23421052631578948,0.24722222222222215
18,Bust,0.938684210526316,0.9691135734072022,0.3605263157894737,0.38055555555555565
18,Chair,0.9513157894736841,0.9757617728531857,0.4868421052631578,0.5138888888888888
18,Cup,0.9592105263157895,0.9799168975069252,0.5657894736842105,0.5972222222222221
18,Fish,0.9384210526315788,0.9689750692520779,0.35789473684210527,0.37777777777777777
18,FourLeg,0.9344736842105261,0.9668975069252077,0.3184210526315789,0.33611111111111114
18,Glasses,0.9307894736842105,0.9649584487534627,0.2815789473684211,0.2972222222222223
18,Hand,0.921842105263158,0.9602493074792244,0.19210526315789475,0.20277777777777772
18,Human,0.9352631578947369,0.9673130193905817,0.3263157894736842,0.34444444444444444
18,Mech,0.9463157894736842,0.973130193905817,0.436842105263158,0.46111111111111114
18,Octopus,0.9210526315789475,0.9598337950138504,0.18421052631578946,0.19444444444444442
18,Plier,0.9657894736842104,0.9833795013850416,0.631578947368421,0.6666666666666666
18,Table,0.9452631578947372,0.9725761772853186,0.42631578947368415,0.45
18,Teddy,0.9586842105263157,0.979639889196676,0.5605263157894738,0.5916666666666667
18,Vase,0.9247368421052633,0.9617728531855956,0.22105263157894733,0.5916666666666667
19,Airplane,0.961842105263158,0.979916897506925,0.6184210526315791,0.6184210526315791
19,Ant,0.9428947368421052,0.9699445983379501,0.42894736842105263,0.42894736842105263
19,Armadillo,0.9244736842105261,0.9602493074792247,0.24473684210526314,0.24473684210526314
19,Bearing,0.9192105263157894,0.9574792243767314,0.19210526315789478,0.19210526315789478
